id_processo,nome_processo,descricao,processo
A7B3C9D2E,Seleção de Aço Bruto,Escolha da matéria-prima em barras ou bobinas.,Inicial
F5G8H1J4K,Cisalhamento Primário,Corte inicial do aço no comprimento desejado.,Intermediário
L2M6N9P3Q,Desbobinamento Controlado,Desenrolar da bobina de aço de forma uniforme.,Final
R7S4T8U1V,Endireitamento de Precisão,Alinhamento da barra para evitar deformações.,Inicial
W3X5Y9Z2A,Limpeza por Jato de Esfera,Remoção de impurezas superficiais com esferas metálicas.,Intermediário
B8C1D4E7F,Decapagem Química Leve,Tratamento ácido para remover óxidos finos.,Final
G2H5J8K3L,Lavagem Neutraizante,Enxágue para interromper a ação do ácido.,Inicial
M4N7P1Q6R,Lubrificação Primária,Aplicação de óleo para facilitar o trabalho a frio.,Intermediário
S9T2U5V8W,Trefilação Inicial,Redução do diâmetro da barra através de matrizes.,Final
X3Y6Z9A2B,Medição Dimensional Contínua,Verificação online do diâmetro durante a trefilação.,Inicial
C4D7E1F5G,Corte Secundário,Ajuste final do comprimento das peças brutas.,Intermediário
H8J3K6L9M,Chanfradura da Cabeça,Criação de um ângulo na extremidade para facilitar o encaixe da ferramenta.,Final
N2P5Q8R3S,Forjamento a Frio da Cabeça,Conformação da cabeça do parafuso por impacto.,Inicial
T7U1V4W6X,Recozimento de Alívio,Tratamento térmico para reduzir tensões internas.,Intermediário
Y9Z2A5B8C,Rebarbação da Cabeça,Remoção de arestas e imperfeições da cabeça.,Final
D1E4F7G2H,Inspeção Visual da Cabeça,Verificação de defeitos na forma da cabeça.,Inicial
J5K8L3M6N,Marcação da Cabeça (Opcional),"Gravação de informações (fabricante, resistência, etc.).",Intermediário
P9Q2R5S8T,Laminação da Rosca,Criação da rosca por deformação plástica.,Final
U3V6W9X2Y,Calibração da Rosca,Ajuste fino das dimensões da rosca.,Inicial
Z4A7B1C5D,Verificação do Passo da Rosca,Medição da distância entre os filetes da rosca.,Intermediário
E8F2G5H9J,Inspeção por Partículas Magnéticas,Detecção de trincas superficiais e subsuperficiais.,Final
K3L6M9P2Q,Teste de Dureza Brinell,Medição da resistência do material à indentação.,Inicial
R7S1T4U6V,Tratamento Térmico de Têmpera,Aquecimento seguido de resfriamento rápido para endurecimento.,Intermediário
W9X2Y5Z8A,Revenimento Controlado,Reaquecimento para reduzir a fragilidade da têmpera.,Final
B3C6D9E2F,Teste de Dureza Rockwell,Outro método de medição de dureza.,Inicial
G5H8J1K4L,Polimento Vibratório,Acabamento superficial para melhorar a aparência.,Intermediário
M7N2P5Q9R,Desengraxe Final,Remoção de óleos e resíduos do tratamento térmico.,Final
S3T6U9V2W,Fosfatização,Criação de uma camada protetora de fosfato.,Inicial
